Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
1;31536000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,586841365;8,913E-08;68,02521;1,31E-09;5,181178
2;63072000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,508202659;8,913E-08;68,02521;1,31E-09;6,345411
3;94608000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,467182172;8,913E-08;68,02521;1,31E-09;7,144218
4;126144000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,440101803;8,913E-08;68,02521;1,31E-09;7,771251
5;157680000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,420182404;8,913E-08;68,02521;1,31E-09;8,295273
6;189216000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,404578198;8,913E-08;68,02521;1,31E-09;8,749554
7;220752000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,391838004;8,913E-08;68,02521;1,31E-09;9,152998
8;252288000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,381126689;8,913E-08;68,02521;1,31E-09;9,517484
9;283824000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,371921945;8,913E-08;68,02521;1,31E-09;9,851012
10;315360000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,363876556;8,913E-08;68,02521;1,31E-09;10,159256
11;346896000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,356748648;8,913E-08;68,02521;1,31E-09;10,446396
