Kco2  (mm/ano^0,5);Tempo (anos);Xc (mm)
2;1;2
2;2;2,828427125
2;3;3,464101615
2;4;4
2;5;4,472135955
2;6;4,898979486
2;7;5,291502622
2;8;5,656854249
2;9;6
2;10;6,32455532
2;11;6,633249581
2;12;6,92820323
2;13;7,211102551
2;14;7,483314774
2;15;7,745966692
2;16;8
2;17;8,246211251
2;18;8,485281374
2;19;8,717797887
2;20;8,94427191
2;21;9,16515139
2;22;9,38083152
2;23;9,591663047
2;24;9,797958971
2;25;10
2;26;10,19803903
2;27;10,39230485
2;28;10,58300524
2;29;10,77032961
2;30;10,95445115
2;31;11,13552873
2;32;11,3137085
2;33;11,48912529
2;34;11,66190379
2;35;11,83215957
2;36;12
2;37;12,16552506
2;38;12,32882801
2;39;12,489996
2;40;12,64911064
2;41;12,80624847
2;42;12,9614814
2;43;13,11487705
2;44;13,26649916
2;45;13,41640786
2;46;13,56465997
2;47;13,7113092
2;48;13,85640646
2;49;14
2;50;14,14213562
2;51;14,28285686
2;52;14,4222051
2;53;14,56021978
2;54;14,69693846
2;55;14,83239697
2;56;14,96662955
2;57;15,09966887
2;58;15,23154621
2;59;15,3622915
2;60;15,49193338
2;61;15,62049935
2;62;15,74801575
2;63;15,87450787
2;64;16
2;65;16,1245155
2;66;16,24807681
2;67;16,37070554
2;68;16,4924225
2;69;16,61324773
2;70;16,73320053
2;71;16,85229955
2;72;16,97056275
2;73;17,08800749
2;74;17,20465053
2;75;17,32050808
2;76;17,43559577
2;77;17,54992877
2;78;17,66352173
2;79;17,77638883
2;80;17,88854382
2;81;18
2;82;18,11077028
2;83;18,22086716
2;84;18,33030278
2;85;18,43908891
2;86;18,54723699
2;87;18,65475811
2;88;18,76166304
2;89;18,86796226
2;90;18,97366596
2;91;19,07878403
2;92;19,18332609
2;93;19,28730152
2;94;19,39071943
2;95;19,49358869
2;96;19,59591794
2;97;19,6977156
2;98;19,79898987
2;99;19,89974874
2;100;20
2;101;20,09975124
2;102;20,19900988
2;103;20,29778313
2;104;20,39607805
2;105;20,49390153
2;106;20,59126028
2;107;20,68816087
2;108;20,78460969
2;109;20,88061302
2;110;20,97617696
2;111;21,07130751
2;112;21,16601049
2;113;21,26029163
2;114;21,3541565
2;115;21,44761059
2;116;21,54065923
2;117;21,63330765
2;118;21,72556098
2;119;21,81742423
2;120;21,9089023
2;121;22
2;122;22,09072203
2;123;22,18107301
2;124;22,27105745
2;125;22,36067977
2;126;22,44994432
2;127;22,53885534
2;128;22,627417
2;129;22,71563338
2;130;22,8035085
2;131;22,89104628
2;132;22,97825059
2;133;23,06512519
2;134;23,15167381
2;135;23,23790008
2;136;23,32380758
2;137;23,40939982
2;138;23,49468025
2;139;23,57965225
2;140;23,66431913
2;141;23,74868417
2;142;23,83275058
2;143;23,91652149
2;144;24
2;145;24,08318916
2;146;24,16609195
2;147;24,24871131
2;148;24,33105012
2;149;24,41311123
2;150;24,49489743
2;151;24,57641145
2;152;24,65765601
2;153;24,73863375
2;154;24,81934729
2;155;24,8997992
2;156;24,97999199
2;157;25,05992817
2;158;25,13961018
2;159;25,21904043
2;160;25,29822128
2;161;25,37715508
2;162;25,45584412
2;163;25,53429067
2;164;25,61249695
2;165;25,69046516
2;166;25,76819745
2;167;25,84569597
2;168;25,92296279
2;169;26
2;170;26,07680962
2;171;26,15339366
2;172;26,2297541
2;173;26,30589288
2;174;26,38181192
2;175;26,45751311
2;176;26,53299832
2;177;26,60826939
2;178;26,68332813
2;179;26,75817632
2;180;26,83281573
2;181;26,90724809
2;182;26,98147513
2;183;27,05549852
2;184;27,12931993
2;185;27,20294102
2;186;27,27636339
2;187;27,34958866
2;188;27,4226184
2;189;27,49545417
2;190;27,5680975
2;191;27,64054992
2;192;27,71281292
2;193;27,78488798
2;194;27,85677655
2;195;27,92848009
2;196;28
2;197;28,0713377
2;198;28,14249456
2;199;28,21347196
2;200;28,28427125
2;201;28,35489376
2;202;28,42534081
2;203;28,4956137
2;204;28,56571371
2;205;28,63564213
2;206;28,70540019
2;207;28,77498914
2;208;28,8444102
2;209;28,91366459
2;210;28,98275349
2;211;29,05167809
2;212;29,12043956
2;213;29,18903904
2;214;29,25747768
2;215;29,3257566
2;216;29,39387691
2;217;29,46183973
2;218;29,52964612
2;219;29,59729717
2;220;29,66479395
2;221;29,73213749
2;222;29,79932885
2;223;29,86636905
2;224;29,93325909
2;225;30
2;226;30,06659276
2;227;30,13303835
2;228;30,19933774
2;229;30,2654919
2;230;30,33150178
2;231;30,39736831
2;232;30,46309242
2;233;30,52867504
2;234;30,59411708
2;235;30,65941943
2;236;30,72458299
2;237;30,78960864
2;238;30,85449724
2;239;30,91924967
2;240;30,98386677
2;241;31,04834939
2;242;31,11269837
2;243;31,17691454
2;244;31,2409987
2;245;31,30495168
2;246;31,36877428
2;247;31,43246729
2;248;31,4960315
2;249;31,55946768
2;250;31,6227766
2;251;31,68595904
2;252;31,74901573
2;253;31,81194744
2;254;31,8747549
2;255;31,93743885
2;256;32
2;257;32,06243908
2;258;32,12475681
2;259;32,18695388
2;260;32,24903099
2;261;32,31098884
2;262;32,37282811
2;263;32,43454948
2;264;32,49615362
2;265;32,55764119
2;266;32,61901286
2;267;32,68026928
2;268;32,74141109
2;269;32,80243893
2;270;32,86335345
2;271;32,92415527
2;272;32,984845
2;273;33,04542328
2;274;33,10589071
2;275;33,1662479
2;276;33,22649545
2;277;33,28663395
2;278;33,346664
2;279;33,40658618
2;280;33,46640106
2;281;33,52610923
2;282;33,58571125
2;283;33,64520768
2;284;33,70459909
2;285;33,76388603
2;286;33,82306905
2;287;33,88214869
2;288;33,9411255
2;289;34
2;290;34,05877273
2;291;34,11744422
2;292;34,17601498
2;293;34,23448554
2;294;34,2928564
2;295;34,35112807
2;296;34,40930107
2;297;34,46737588
2;298;34,525353
2;299;34,58323293
2;300;34,64101615
2,1;1;2,1
2,1;2;2,969848481
2,1;3;3,637306696
2,1;4;4,2
2,1;5;4,695742753
2,1;6;5,14392846
2,1;7;5,556077753
2,1;8;5,939696962
2,1;9;6,3
2,1;10;6,640783086
2,1;11;6,96491206
2,1;12;7,274613392
2,1;13;7,571657678
2,1;14;7,857480512
2,1;15;8,133265027
2,1;16;8,4
2,1;17;8,658521814
2,1;18;8,909545443
2,1;19;9,153687781
2,1;20;9,391485505
2,1;21;9,623408959
2,1;22;9,849873096
2,1;23;10,0712462
2,1;24;10,28785692
2,1;25;10,5
2,1;26;10,70794098
2,1;27;10,91192009
2,1;28;11,11215551
2,1;29;11,30884609
2,1;30;11,50217371
2,1;31;11,69230516
2,1;32;11,87939392
2,1;33;12,06358156
2,1;34;12,24499898
2,1;35;12,42376754
2,1;36;12,6
2,1;37;12,77380131
2,1;38;12,94526941
2,1;39;13,1144958
2,1;40;13,28156617
2,1;41;13,4465609
2,1;42;13,60955547
2,1;43;13,7706209
2,1;44;13,92982412
2,1;45;14,08722826
2,1;46;14,24289296
2,1;47;14,39687466
2,1;48;14,54922678
2,1;49;14,7
2,1;50;14,8492424
2,1;51;14,9969997
2,1;52;15,14331536
2,1;53;15,28823077
2,1;54;15,43178538
2,1;55;15,57401682
2,1;56;15,71496102
2,1;57;15,85465231
2,1;58;15,99312352
2,1;59;16,13040607
2,1;60;16,26653005
2,1;61;16,40152432
2,1;62;16,53541654
2,1;63;16,66823326
2,1;64;16,8
2,1;65;16,93074127
2,1;66;17,06048065
2,1;67;17,18924082
2,1;68;17,31704363
2,1;69;17,44391011
2,1;70;17,56986056
2,1;71;17,69491452
2,1;72;17,81909089
2,1;73;17,94240787
2,1;74;18,06488306
2,1;75;18,18653348
2,1;76;18,30737556
2,1;77;18,42742521
2,1;78;18,54669782
2,1;79;18,66520828
2,1;80;18,78297101
2,1;81;18,9
2,1;82;19,01630879
2,1;83;19,13191052
2,1;84;19,24681792
2,1;85;19,36104336
2,1;86;19,47459884
2,1;87;19,58749601
2,1;88;19,69974619
2,1;89;19,81136038
2,1;90;19,92234926
2,1;91;20,03272323
2,1;92;20,1424924
2,1;93;20,2516666
2,1;94;20,3602554
2,1;95;20,46826812
2,1;96;20,57571384
2,1;97;20,68260138
2,1;98;20,78893937
2,1;99;20,89473618
2,1;100;21
2,1;101;21,1047388
2,1;102;21,20896037
2,1;103;21,31267229
2,1;104;21,41588196
2,1;105;21,51859661
2,1;106;21,6208233
2,1;107;21,72256891
2,1;108;21,82384018
2,1;109;21,92464367
2,1;110;22,02498581
2,1;111;22,12487288
2,1;112;22,22431101
2,1;113;22,32330621
2,1;114;22,42186433
2,1;115;22,51999112
2,1;116;22,61769219
2,1;117;22,71497304
2,1;118;22,81183903
2,1;119;22,90829544
2,1;120;23,00434742
2,1;121;23,1
2,1;122;23,19525814
2,1;123;23,29012666
2,1;124;23,38461032
2,1;125;23,47871376
2,1;126;23,57244154
2,1;127;23,66579811
2,1;128;23,75878785
2,1;129;23,85141505
2,1;130;23,94368393
2,1;131;24,0355986
2,1;132;24,12716312
2,1;133;24,21838145
2,1;134;24,3092575
2,1;135;24,39979508
2,1;136;24,48999796
2,1;137;24,57986981
2,1;138;24,66941426
2,1;139;24,75863486
2,1;140;24,84753509
2,1;141;24,93611838
2,1;142;25,0243881
2,1;143;25,11234756
2,1;144;25,2
2,1;145;25,28734862
2,1;146;25,37439654
2,1;147;25,46114687
2,1;148;25,54760263
2,1;149;25,63376679
2,1;150;25,7196423
2,1;151;25,80523203
2,1;152;25,89053881
2,1;153;25,97556544
2,1;154;26,06031466
2,1;155;26,14478916
2,1;156;26,22899159
2,1;157;26,31292458
2,1;158;26,39659069
2,1;159;26,47999245
2,1;160;26,56313235
2,1;161;26,64601283
2,1;162;26,72863633
2,1;163;26,8110052
2,1;164;26,8931218
2,1;165;26,97498842
2,1;166;27,05660733
2,1;167;27,13798076
2,1;168;27,21911093
2,1;169;27,3
2,1;170;27,3806501
2,1;171;27,46106334
2,1;172;27,5412418
2,1;173;27,62118752
2,1;174;27,70090251
2,1;175;27,78038877
2,1;176;27,85964824
2,1;177;27,93868286
2,1;178;28,01749453
2,1;179;28,09608514
2,1;180;28,17445652
2,1;181;28,2526105
2,1;182;28,33054888
2,1;183;28,40827344
2,1;184;28,48578593
2,1;185;28,56308807
2,1;186;28,64018156
2,1;187;28,7170681
2,1;188;28,79374932
2,1;189;28,87022688
2,1;190;28,94650238
2,1;191;29,02257742
2,1;192;29,09845357
2,1;193;29,17413238
2,1;194;29,24961538
2,1;195;29,32490409
2,1;196;29,4
2,1;197;29,47490458
2,1;198;29,54961929
2,1;199;29,62414556
2,1;200;29,69848481
2,1;201;29,77263845
2,1;202;29,84660785
2,1;203;29,92039438
2,1;204;29,9939994
2,1;205;30,06742423
2,1;206;30,1406702
2,1;207;30,2137386
2,1;208;30,28663071
2,1;209;30,35934782
2,1;210;30,43189117
2,1;211;30,504262
2,1;212;30,57646153
2,1;213;30,64849099
2,1;214;30,72035156
2,1;215;30,79204443
2,1;216;30,86357076
2,1;217;30,93493171
2,1;218;31,00612843
2,1;219;31,07716203
2,1;220;31,14803365
2,1;221;31,21874437
2,1;222;31,28929529
2,1;223;31,3596875
2,1;224;31,42992205
2,1;225;31,5
2,1;226;31,56992239
2,1;227;31,63969026
2,1;228;31,70930463
2,1;229;31,7787665
2,1;230;31,84807687
2,1;231;31,91723672
2,1;232;31,98624704
2,1;233;32,0551088
2,1;234;32,12382294
2,1;235;32,19239041
2,1;236;32,26081214
2,1;237;32,32908907
2,1;238;32,3972221
2,1;239;32,46521215
2,1;240;32,53306011
2,1;241;32,60076686
2,1;242;32,66833329
2,1;243;32,73576026
2,1;244;32,80304864
2,1;245;32,87019927
2,1;246;32,937213
2,1;247;33,00409066
2,1;248;33,07083307
2,1;249;33,13744106
2,1;250;33,20391543
2,1;251;33,27025699
2,1;252;33,33646652
2,1;253;33,40254481
2,1;254;33,46849265
2,1;255;33,53431079
2,1;256;33,6
2,1;257;33,66556104
2,1;258;33,73099465
2,1;259;33,79630157
2,1;260;33,86148254
2,1;261;33,92653828
2,1;262;33,99146952
2,1;263;34,05627695
2,1;264;34,1209613
2,1;265;34,18552325
2,1;266;34,2499635
2,1;267;34,31428274
2,1;268;34,37848164
2,1;269;34,44256088
2,1;270;34,50652112
2,1;271;34,57036303
2,1;272;34,63408726
2,1;273;34,69769445
2,1;274;34,76118525
2,1;275;34,8245603
2,1;276;34,88782022
2,1;277;34,95096565
2,1;278;35,0139972
2,1;279;35,07691549
2,1;280;35,13972111
2,1;281;35,20241469
2,1;282;35,26499681
2,1;283;35,32746807
2,1;284;35,38982905
2,1;285;35,45208033
2,1;286;35,5142225
2,1;287;35,57625613
2,1;288;35,63818177
2,1;289;35,7
2,1;290;35,76171137
2,1;291;35,82331643
2,1;292;35,88481573
2,1;293;35,94620981
2,1;294;36,00749922
2,1;295;36,06868448
2,1;296;36,12976612
2,1;297;36,19074467
2,1;298;36,25162065
2,1;299;36,31239458
2,1;300;36,37306696
2,2;1;2,2
2,2;2;3,111269837
2,2;3;3,810511777
2,2;4;4,4
2,2;5;4,91934955
2,2;6;5,388877434
2,2;7;5,820652884
2,2;8;6,222539674
2,2;9;6,6
2,2;10;6,957010852
2,2;11;7,296574539
2,2;12;7,621023553
2,2;13;7,932212806
2,2;14;8,231646251
2,2;15;8,520563362
2,2;16;8,8
2,2;17;9,070832376
2,2;18;9,333809512
2,2;19;9,589577676
2,2;20;9,838699101
2,2;21;10,08166653
2,2;22;10,31891467
2,2;23;10,55082935
2,2;24;10,77775487
2,2;25;11
2,2;26;11,21784293
2,2;27;11,43153533
2,2;28;11,64130577
2,2;29;11,84736258
2,2;30;12,04989627
2,2;31;12,2490816
2,2;32;12,44507935
2,2;33;12,63803782
2,2;34;12,82809417
2,2;35;13,01537552
2,2;36;13,2
2,2;37;13,38207757
2,2;38;13,56171081
2,2;39;13,7389956
2,2;40;13,9140217
2,2;41;14,08687332
2,2;42;14,25762954
2,2;43;14,42636475
2,2;44;14,59314908
2,2;45;14,75804865
2,2;46;14,92112596
2,2;47;15,08244012
2,2;48;15,24204711
2,2;49;15,4
2,2;50;15,55634919
2,2;51;15,71114254
2,2;52;15,86442561
2,2;53;16,01624176
2,2;54;16,1666323
2,2;55;16,31563667
2,2;56;16,4632925
2,2;57;16,60963576
2,2;58;16,75470083
2,2;59;16,89852065
